open	close	type	description	rev
07/31/06	07/31/06	done	invalid project doc causes silent failure; add doc header w/ version	1.0.00
07/31/06	07/31/06	done	loading a non-freeframe DLL causes crash	1.0.00
07/31/06	07/31/06	done	if a bypassed plugin is dragged to a different slot, tab highlight doesn't move	1.0.00
07/29/06	08/02/06	done	blit via DirectDraw instead of GDI	1.0.00
08/02/06	08/04/06	done	shell open doesn't work due to lack of document implementation	1.0.00
08/02/06	08/04/06	done	can't drop video files	1.0.00
08/02/06	08/04/06	done	can't drop files on output window; both windows should support all types	1.0.00
08/02/06	08/04/06	done	left-click in slider should resync automation	1.0.00
08/02/06	08/05/06	done	add rendering to an AVI file	1.0.00
08/05/06	08/06/06	done	help about doesn't work when CPU is saturated; see Whorld	1.0.00
07/29/06	08/07/06	done	if a source plugin is loaded, ignore video file; get frame size from a setting	1.0.00
08/02/06	08/07/06	done	opening a video while effects are running shows dry video briefly; doesn't affect record	1.0.00
08/05/06	08/07/06	done	add frame rate to options dialog	1.0.00
08/05/06	08/07/06	done	in status bar, show frame size, frame rate (nominal and actual), pause and record	1.0.00
08/05/06	08/08/06	done	while recording, show elapsed time, and progress bar if possible	1.0.00
08/06/06	08/08/06	done	allow recording length to be specified in advance	1.0.00
08/07/06	08/08/06	done	during recording, exit exclusive mode crashes if video was changed via Ctrl+	1.0.00
08/02/06	08/09/06	done	add veejay mode (single-monitor exclusive)	1.0.00
08/08/06	08/09/06	done	disable starting a recording unless there's an open video or a source plugin	1.0.00
08/08/06	08/09/06	done	remaining time estimate is too jumpy; try a running average on actual frame rate	1.0.00
08/11/06	08/11/06	done	after loading a project, modulated parameters have incorrect initial positions	1.0.00
08/02/06	08/12/06	done	frame-based and dialog-based row containers can't coexist in same project	1.0.00
08/02/06	08/12/06	done	add numeric editing for modulation range	1.0.00
08/11/06	08/12/06	done	add command to reset all oscillators	1.0.00
08/12/06	08/12/06	done	add option to specify random seed	1.0.00
08/13/06	08/13/06	done	parameter edit control isn't updating parameter; in CNumEdit, notify aux before parent	1.0.00
08/13/06	08/13/06	done	when loading a project, don't send parameters needlessly, it screws up WhorldFF	1.0.00
08/13/06	08/13/06	done	show record status without activation so main frame doesn't lose focus	1.0.00
08/13/06	08/13/06	done	record fails silently if dest file is already open in another app	1.0.00
08/08/06	08/14/06	done	when toolbar is docked on left, scrolling header overwrites it	1.0.00
08/02/06	08/15/06	done	add master speed for oscillators and include in project; add master toolbar	1.0.00
08/12/06	08/15/06	done	add plugin solo command	1.0.00
08/02/06	08/31/06	done	allow bitmap or jpeg as source instead of video	1.0.00
08/21/06	08/31/06	done	use source frame size in all cases, regardless of video/picture size; stretch as needed	1.0.00
08/31/06	09/13/06	done	add use input size checkbox to record dialog; default to true	1.0.00
09/14/06	09/14/06	done	add missing files dialog for missing plugins	1.0.00
09/17/06	09/17/06	done	projects opened via shell aren't added to recent files	1.0.00
09/18/06	09/19/06	done	disallow negative frequencies	1.0.00
09/18/06	09/19/06	done	drop files doesn't work for still images	1.0.00
09/19/06	09/19/06	done	deleting plugins causes memory leaks; dlg's DeletePlugin must delete rows	1.0.00
09/19/06	09/19/06	done	after repeated drag moves, plugins don't match their titles and parameter rows	1.0.00
08/02/06	09/22/06	done	include link to video/picture file in project; make opening video optional?	1.0.00
08/10/06	09/22/06	done	delete key doesn't work in edit controls unless text is selected	1.0.00
08/20/06	09/23/06	done	add bitmap export for capturing still frames	1.0.00
10/02/06	10/02/06	done	opening a project should not modify recent plugin list; same for recent video list	1.0.00
10/02/06	10/02/06	done	add plugin/properties	1.0.01
10/06/06	10/07/06	done	add modulation enable checkbox for each parameter	1.0.02
10/06/06	10/07/06	done	minimizing app while in full screen mode deadlocks UI	1.0.02
10/06/06	10/11/06	done	exclusive mode fails in dual-monitor; all surfaces must be on same display device	1.0.02
10/14/06	10/16/06	done	show frame number in status bar; reset on new document	1.0.02
10/15/06	10/16/06	done	Win32 timer can't achieve common frame rates; add multimedia timer option	1.0.02
10/14/06	10/18/06	done	add option to export specific frames from a list	1.0.02
10/18/06	10/18/06	done	auto-repeated single step doesn't paint output window if CPU is saturated	1.0.02
08/15/06	10/25/06	done	add option to shutdown computer when done recording; use ExitWindowsEx	1.0.02
08/02/06	10/26/06	done	write documentation	1.0.02
10/27/06	10/27/06	done	separate folders for clips, plugins, and output	1.0.03
10/27/06	10/27/06	done	option to get record duration from AVI length	1.0.03
10/06/06	10/28/06	done	if an edit control has focus, menus cause periodic pauses in message loop	1.0.03
10/27/06	10/28/06	done	add video properties	1.0.03
10/28/06	10/28/06	done	frame counter clobbers toolbar button hints in status bar	1.0.03
10/29/06	10/29/06	done	tab order skips mod enable checkbox; uncaptioned checkbox can't show focus	1.0.04
10/06/06	11/03/06	done	MIDI support: FF params and modulators, bypass, master speed	1.1.00
10/31/06	11/04/06	done	in version 2 project docs, don't write FFRow tag	1.1.00
10/30/06	11/05/06	done	frame counter should display as hh:mm:ss (frames)	1.1.00
10/30/06	11/05/06	done	allow record duration to be specified in either time or frames; add unit selector	1.1.00
11/04/06	11/05/06	done	frame/time conversions aren't handling floating-point frame rates correctly	1.1.00
11/03/06	11/06/06	done	wrap video and still image in a clip player object	1.1.00
11/06/06	11/06/06	done	must call initialise and deInitialise on plugins	1.1.00
11/06/06	11/06/06	done	allow plugin and info parameter counts to differ	1.1.00
11/03/06	11/10/06	done	add Video/Go To command for jumping to a specific frame in the clip	1.1.00
08/02/06	11/23/06	done	add undo support	1.2.00
11/23/06	11/24/06	done	misc MIDI assignments aren't saved in project	1.2.00
11/19/06	11/26/06	done	MIDI setup dialog's default size is too small	1.2.00
11/23/06	11/26/06	done	if a parm is modulating, changing it via edit box while paused causes backsliding	1.2.00
11/26/06	11/26/06	done	in MIDI setup's plugin page, edits crash app if chain has non-trailing empty slots	1.2.00
11/26/06	11/26/06	done	video go to dialog's state is not initialized	1.2.00
11/27/06	11/28/06	done	video object is leaking memory; Close must set a dummy surface	1.2.01
11/29/06	11/30/06	done	add support for AviSynth scripts	1.2.02
12/01/06	12/02/06	done	left-clicking slider updates parameter twice; update on button down only	1.2.03
12/13/06	12/13/06	done	if only one plugin left and it has scroll bars, deleting it doesn't reset bars	1.2.03
12/13/06	12/13/06	done	if a plugin has scroll bars, unloading it doesn't reset bars; same with undo	1.2.03
12/17/06	12/18/06	done	most recently used plugin can be loaded when there's no slot; undo causes crash	1.2.04
10/22/06	12/25/06	done	support multi-input plugins	1.3.00
10/22/06	12/25/06	done	honor copy frames preference; improves performance for certain plugins	1.3.00
12/25/06	12/25/06	done	check for buggy PeteMixer plugin; don't allow it unless its file date is acceptable	1.3.00
10/22/07	12/25/06	done	add patch bay dock bar	1.3.00
12/25/06	12/26/06	done	in patch bay, visually group inputs by plugin	1.3.01
12/26/06	12/26/06	done	show empty plugins in patch bay	1.3.01
12/23/06	12/27/06	done	loading a plugin should preserve existing routing as much as possible	1.3.01
12/26/06	12/27/06	done	update source frames regardless of bypass	1.3.01
12/28/06	12/28/06	done	mixer test 2 crashes in 16-bit; Connect must verify that both plugins are loaded	1.3.02
12/28/06	12/28/06	done	left-click on patchbay row should select plugin	1.3.02
12/29/06	12/29/06	done	right-click after last patch bay row should display context menu for insert	1.3.03
